Код бумаги	Кол-во	Ср.Цена бал	Тек.Цена
AFLT	10.0	73.26	60.100000	
ALRS	130.0	73.1015	75.270000	
CHMF	12.0	955.0333	999.600000	
CNTLP	100.0	17.92	0.000000	
DIOD	100.0	4.17	0.000000	
GAZP	10.0	120.04	167.020000	
HIMCP	1000.0	5.16	0.000000	
LKOH	1.0	4725.0	4450.500000	
LSRG	1.0	552.0	850.400000	
MAGN	200.0	32.7275	35.930000	
MGNT	1.0	2500.0	4693.500000	
MOEX	40.0	89.5225	149.970000	
MRKP	30000.0	0.2267	0.000000	
MRKV	10000.0	0.0932	0.000000	
MTLRP	10.0	37.4	0.000000	
MTSS	20.0	226.65	329.800000	
NKHP	10.0	189.5	0.000000	
NKNC	30.0	93.7	0.000000	
NKNCP	10.0	85.32	0.000000	
NLMK	10.0	108.6	169.220000	
PHOR	1.0	2600.0	2850.000000	
PLZL	1.0	5695.5	16984.000000	
PMSBP	10.0	74.5	0.000000	
RLMNP	80.0	36.36	0.000000	
ROSN	10.0	265.85	386.100000	
RSTIP	3000.0	1.8617	0.000000	
RTKMP	100.0	58.49	0.000000	
RU000A0JVPJ0	1.0	0.01	0.000000	
RU000A0JVUH4	5.0	102.318	0.000000	
RU000A0JWWG0	1.0	101.52	0.000000	
RU000A0ZYBS1	1.0	100.72	0.000000	
RU000A100CT0	1.0	100.5	0.000000	
RU000A101FH6	2.0	96.8	0.000000	
RU000A101RF5	2.0	100.4	0.000000	
RU000A101S81	1.0	99.94	0.000000	
SBER	10.0	193.05	206.000000	
SIBN	10.0	341.45	0.000000	
STSBP	5000.0	0.2728	0.000000	
SU25083RMFS5	1.0	100.753	0.000000	
SU26218RMFS6	2.0	115.5305	0.000000	
SU29006RMFS2	1.0	106.247	0.000000	
SU29007RMFS0	1.0	110.008	0.000000	
TATNP	2.0	438.8	443.600000	
TGKA	100000.0	0.0093	0.000000	
TGKD	100000.0	0.0026	0.000000	
VSMO	1.0	17980.0	0.000000	
VTBR	160000.0	0.0357	0.033200	
